"Endpoint","Avg","P95","P90","Med","Max","Failed","Checks","Reqs"
"courses-auth-check","121.13ms","201.23ms","167.17ms","112.4ms","767.76ms","0.00%","100.00% 3172 out of 3172","3172   15.093165/s"
"courses-list","146.47ms","281ms","225.49ms","125.32ms","877.17ms","0.00%","100.00% 3104 out of 3104","3104   14.743168/s"
"gamification-badges","155.26ms","287.91ms","234.3ms","130.4ms","1.37s","0.00%","100.00% 3076 out of 3076","3076   14.646716/s"
"gamification-daily-challenges","150.25ms","295ms","232.7ms","126.16ms","690.77ms","0.00%","100.00% 3090 out of 3090","3090   14.650644/s"
"notifications-all","181.62ms","374.95ms","275.55ms","142.48ms","4.1s","0.00%","100.00% 3004 out of 3004","3004   14.240516/s"
"notifications-unread","166.06ms","315.91ms","251.44ms","142.95ms","689.58ms","0.00%","100.00% 3048 out of 3048","3048   14.469255/s"
"practice-history","207.75ms","651.58ms","407.92ms","132.27ms","2.02s","0.00%","100.00% 2942 out of 2942","2942   13.987571/s"
"practice-suggestion","176.56ms","411.98ms","279.03ms","119.79ms","2.42s","0.00%","100.00% 3018 out of 3018","3018   14.353455/s"
"recommendations-ai-coach","140.56ms","264.57ms","206.11ms","119.34ms","1.43s","0.00%","100.00% 3116 out of 3116","3116   14.837754/s"
"recommendations-dashboard","147.34ms","301.46ms","215.38ms","116.67ms","4.08s","0.00%","100.00% 3094 out of 3094","3094   14.717313/s"
"recommendations-predict","136.52ms","233.92ms","201.74ms","122.12ms","517.69ms","0.00%","100.00% 3128 out of 3128","3128   14.816332/s"
"stats-recommendations","124.94ms","200.42ms","169.58ms","114.04ms","1.82s","0.00%","100.00% 3161 out of 3161","3161   14.995857/s"
"stats-summary","120.38ms","197.34ms","164.3ms","110.83ms","451.08ms","0.00%","100.00% 3173 out of 3173","3173   15.099498/s"
"stats-timeseries","126.86ms","199.41ms","172.31ms","114.74ms","718.49ms","0.00%","100.00% 3154 out of 3154","3154   14.995556/s"
"stats-xp-history","131.19ms","241.95ms","191.79ms","114.34ms","755.56ms","0.00%","100.00% 3146 out of 3146","3146   14.914184/s"
"students-leaderboard","109.7ms","191.35ms","137.36ms","100.73ms","712.89ms","0.00%","100.00% 3206 out of 3206","3206   15.242637/s"
"students-profile","148.87ms","394.84ms","206.88ms","112.48ms","1.49s","0.00%","100.00% 3096 out of 3096","3096   14.708145/s"
"study-plan-by-id","109.9ms","156.85ms","129.51ms","100.58ms","756.79ms","0.00%","100.00% 3205 out of 3205","3205   15.228683/s"
"study-plan-quiz","103.02ms","133.39ms","123.92ms","95.7ms","693.43ms","0.00%","100.00% 3224 out of 3224","3224   15.305533/s"
"study-plans-active-context","120.15ms","201.37ms","160.88ms","112.86ms","445.9ms","0.00%","100.00% 3174 out of 3174","3174   15.038352/s"
"study-plans-list","119.99ms","201.77ms","168.5ms","110.23ms","679ms","0.00%","100.00% 3174 out of 3174","3174   15.05935/s"
"study-plans-stats","124.14ms","202.22ms","162.87ms","114.82ms","2.45s","0.00%","100.00% 3164 out of 3164","3164   15.025934/s"
