"Endpoint","Avg","Min","Med","Max","P90","P95","Failed","ChecksSucceeded","Reqs","AvgMs","P95Ms"
"courses-auth-check","65.64ms","40.45ms","63.52ms","340.27ms","74.19ms","80.26ms","0.00%  0 out of 3337","100.00% 3337 out of 3337","3337   15.811348/s","65.64","80.26"
"courses-list","66.53ms","40.54ms","64.3ms","306.67ms","74.88ms","80.92ms","0.00%  0 out of 3337","100.00% 3337 out of 3337","3337   15.876212/s","66.53","80.92"
"gamification-badges","74.41ms","43.86ms","67.95ms","2.62s","86.45ms","97.92ms","0.00%  0 out of 3310","100.00% 3310 out of 3310","3310   15.732128/s","74.41","97.92"
"gamification-daily-challenges","71.26ms","43.14ms","67.07ms","308.83ms","84.29ms","95.36ms","0.00%  0 out of 3321","100.00% 3321 out of 3321","3321   15.752385/s","71.26","95.36"
"notifications-all","71.92ms","47.44ms","68.14ms","299.19ms","84.51ms","95.38ms","0.00%  0 out of 3320","100.00% 3320 out of 3320","3320   15.73794/s","71.92","95.38"
"notifications-unread","71.4ms","49.82ms","67.77ms","244.59ms","85.43ms","96.09ms","0.00%  0 out of 3322","100.00% 3322 out of 3322","3322   15.760067/s","71.4","96.09"
"practice-history","87.49ms","50.67ms","81.49ms","357.85ms","108.41ms","124.98ms","0.00%  0 out of 3273","100.00% 3273 out of 3273","3273   15.563403/s","87.49","124.98"
"practice-suggestion","70.9ms","45.13ms","66.8ms","408.87ms","83.53ms","94.06ms","0.00%  0 out of 3321","100.00% 3321 out of 3321","3321   15.776762/s","70.9","94.06"
"recommendations-ai-coach","74.35ms","44.78ms","64.59ms","772.89ms","82.69ms","102.53ms","0.00%  0 out of 3315","100.00% 3315 out of 3315","3315   15.710928/s","74.35","102.53"
"recommendations-dashboard","69.98ms","45.15ms","66.23ms","229.65ms","82.93ms","93.23ms","0.00%  0 out of 3326","100.00% 3326 out of 3326","3326   15.782861/s","69.98","93.23"
"recommendations-predict","70.07ms","51.91ms","66.22ms","421.15ms","81.6ms","93.81ms","0.00%  0 out of 3327","100.00% 3327 out of 3327","3327   15.764626/s","70.07","93.81"
"stats-recommendations","71.07ms","46.27ms","65.01ms","573.11ms","85.16ms","100.9ms","0.00%  0 out of 3324","100.00% 3324 out of 3324","3324   15.800645/s","71.07","100.9"
"stats-summary","76.47ms","48.95ms","72.29ms","400.53ms","90.98ms","101.21ms","0.00%  0 out of 3305","100.00% 3305 out of 3305","3305   15.704842/s","76.47","101.21"
"stats-timeseries","70.42ms","40.09ms","66.42ms","365.57ms","83.35ms","96.33ms","0.00%  0 out of 3323","100.00% 3323 out of 3323","3323   15.810439/s","70.42","96.33"
"stats-xp-history","74.85ms","42.24ms","68.57ms","420.1ms","92.63ms","105.41ms","0.00%  0 out of 3309","100.00% 3309 out of 3309","3309   15.706463/s","74.85","105.41"
"students-leaderboard","108.85ms","39.7ms","75.73ms","958.68ms","188.37ms","337.45ms","0.00%  0 out of 3208","100.00% 3208 out of 3208","3208   15.232094/s","108.85","337.45"
"students-profile","84.11ms","50.83ms","69.25ms","604.58ms","109.28ms","146.43ms","0.00%  0 out of 3280","100.00% 3280 out of 3280","3280   15.593932/s","84.11","146.43"
"study-plan-by-id","105.01ms","55.2ms","89.12ms","656.25ms","146.93ms","192.33ms","0.00%  0 out of 3219","100.00% 3219 out of 3219","3219   15.312835/s","105.01","192.33"
"study-plan-quiz","74.66ms","47.74ms","67.46ms","679.69ms","86.68ms","105.84ms","0.00%  0 out of 3314","100.00% 3314 out of 3314","3314   15.741021/s","74.66","105.84"
"study-plans-active-context","78.37ms","40.88ms","69.1ms","431.32ms","105.08ms","119.04ms","0.00%  0 out of 3301","100.00% 3301 out of 3301","3301   15.660086/s","78.37","119.04"
"study-plans-list","70.58ms","47.94ms","65.91ms","309.08ms","84.18ms","99.26ms","0.00%  0 out of 3322","100.00% 3322 out of 3322","3322   15.80253/s","70.58","99.26"
"study-plans-stats","71.8ms","34.36ms","65.57ms","607.47ms","84.02ms","102.45ms","0.00%  0 out of 3321","100.00% 3321 out of 3321","3321   15.761458/s","71.8","102.45"
